Date,^DJI,TSLA,AAPL,MSFT,GOOG,AMZN
2014-10-02,16765.64453125,16.604999542236328,24.78250026702881,45.869998931884766,28.303044319152832,15.746000289916992
2014-10-01,16908.6455078125,15.943666934967041,24.923749923706055,46.189998626708984,28.53640365600586,15.942999839782715
2014-09-30,17081.1044921875,16.258999824523926,25.258749961853027,46.244998931884766,28.738597869873047,16.048499584197998
2014-09-29,17021.0595703125,16.333999633789062,24.883749961853027,46.15999984741211,28.655325889587402,16.06874990463257
2014-09-26,17048.1298828125,16.52666664123535,24.893750190734863,46.189998626708984,28.768765449523926,16.028499603271484
2014-09-25,17075.330078125,16.702000617980957,24.803750038146973,46.55999946594238,28.974451065063477,16.248499870300293
2014-09-24,17130.2646484375,16.662667274475098,25.50624942779541,46.72500038146973,29.173653602600098,16.22499990463257
2014-09-23,17113.875,16.62666606903076,25.4350004196167,46.72500038146973,29.11631202697754,16.2212495803833
2014-09-22,17218.6201171875,16.69099998474121,25.34000015258789,47.18000030517578,29.354631423950195,16.263750076293945
2014-09-19,17304.05078125,17.22333335876465,25.356249809265137,47.084999084472656,29.568320274353027,16.458250045776367
2014-09-18,17219.5498046875,17.597333908081055,25.488749504089355,46.64500045776367,29.283102989196777,16.270249366760254
2014-09-17,17155.0595703125,17.47333335876465,25.298749923706055,46.459999084472656,29.077542304992676,16.23799991607666
2014-09-16,17076.30078125,17.16266632080078,25.018750190734863,46.56999969482422,28.774998664855957,16.239500045776367
2014-09-15,17001.615234375,17.451000213623047,25.561250686645508,46.404998779296875,28.500751495361328,16.258249759674072
2014-09-12,16990.8603515625,18.646333694458008,25.408750534057617,46.80999946594238,28.823366165161133,16.542000770568848
2014-09-11,17020.6455078125,18.78066635131836,25.132500648498535,46.73500061035156,28.872480392456055,16.484999656677246
2014-09-10,17027.419921875,18.502333641052246,24.858750343322754,46.60999870300293,28.931568145751953,16.59500026702881
2014-09-09,17052.419921875,18.749667167663574,24.90250015258789,46.69499969482422,29.144981384277344,16.773499488830566
2014-09-08,17108.525390625,18.74666690826416,24.670000076293945,46.39500045776367,29.371110916137695,17.12125015258789
2014-09-05,17073.4892578125,18.513667106628418,24.712499618530273,45.52000045776367,29.132516860961914,17.23324966430664
2014-09-04,17095.8349609375,19.06066608428955,24.734999656677246,44.9950008392334,29.050740242004395,17.324000358581543
2014-09-03,17106.05078125,18.93666648864746,25.22249984741211,44.81999969482422,28.87048625946045,17.02050018310547
2014-09-02,17061.2900390625,18.63966655731201,25.807499885559082,45.154998779296875,28.646849632263184,16.99149990081787
2014-08-29,17072.900390625,17.98366641998291,25.637499809265137,45.14999961853027,28.39975357055664,16.987500190734863
